马来西亚, 223.25.244.145, 0%, 91
泰国, 43.254.132.221, 0%, 107
新加坡, 180.210.206.51, 0%, 117
印度, 220.226.182.128, 0%, 145
越南, 45.117.76.22, 0%, 124
澳大利亚, 203.143.89.72, 0%, 169
日本, 133.130.115.224, 0%, 108
蒙古, 43.231.113.234, 0%, 137
土耳其, 185.125.32.29, 0%, 191
哈萨克斯坦, 91.185.5.197, 0%, 251
台湾, 218.32.21.1, 0%, 98
韩国, 103.86.86.1, 0%, 57
阿联酋, 185.93.245.1, 0%, 439
香港, 203.119.87.218, 0%, 54
德国, 185.72.247.76, 0%, 191
荷兰, 103.136.40.107, 0%, 172
英国, 46.17.63.250, 0%, 217
乌克兰, 91.229.78.83, 0%, 204
俄罗斯, 46.38.51.201, 0%, 171
葡萄牙, 188.208.143.109, 0%, 183
意大利, 192.71.26.35, 0%, 263
埃及, 41.215.240.13, 0%, 291
芬兰, 185.87.108.247, 0%, 199
美国, 45.35.23.120, 0%, 171
墨西哥, 143.255.57.1, 0%, 211
加拿大, 132.216.177.160, 0%, 255
肯尼亚, 62.12.114.67, 0%, 346
南非, 168.209.28.2, 0%, 303
尼日利亚, 154.113.1.1, 0%, 292
智利, 190.105.239.70, 0%, 337
巴西, 181.41.214.27, 0%, 343
阿根廷, 200.55.240.23, 0%, 349
沙特, 46.151.213.205, NONE, INFINITE
-, -, -, -
北京, 中国信息通信研究院, 联通, 111.204.176.147
