新加坡, 180.210.206.51, 0%, 203
越南, 45.117.76.22, 0%, 155
马来西亚, 223.25.244.145, 0%, 158
泰国, 43.254.132.221, 0%, 162
澳大利亚, 203.143.89.72, 0%, 359
土耳其, 185.125.32.29, 0%, 292
印度, 220.226.182.128, 0%, 324
韩国, 103.86.86.1, 0%, 87
蒙古, 43.231.113.234, 0%, 281
台湾, 218.32.21.1, 0%, 133
沙特, 46.151.213.205, 0%, 342
阿联酋, 185.93.245.1, 0%, 465
香港, 203.119.87.218, 0%, 240
荷兰, 103.136.40.107, 0%, 249
哈萨克斯坦, 91.185.5.197, 0%, 402
乌克兰, 91.229.78.83, 0%, 214
德国, 185.72.247.76, 0%, 349
芬兰, 185.87.108.247, 0%, 190
意大利, 192.71.26.35, 0%, 314
葡萄牙, 188.208.143.109, 0%, 230
俄罗斯, 46.38.51.201, 0%, 210
英国, 46.17.63.250, 0%, 335
埃及, 41.215.240.13, 0%, 357
美国, 45.35.23.120, 0%, 192
尼日利亚, 154.113.1.1, 0%, 367
墨西哥, 143.255.57.1, 0%, 284
加拿大, 132.216.177.160, 0%, 330
肯尼亚, 62.12.114.67, 0%, 455
南非, 168.209.28.2, 0%, 444
巴西, 181.41.214.27, 0%, 361
阿根廷, 200.55.240.23, 0%, 367
智利, 190.105.239.70, 0%, 400
日本, 133.130.115.224, NONE, INFINITE
-, -, -, -
北京, 中国信息通信研究院, 电信, 106.38.3.249
